date,week,handlagt,Ej handlagda,Handlagda,okänd_spruta,Allvarliga
2021-01-01,1,0,0,0,,0
2021-03-03,9,19,6151,1443,,556
2021-03-10,10,14,11152,1816,,695
2021-03-17,11,12,16127,2199,,820
2021-03-24,12,12,17722,2417,,929
2021-03-31,13,12,18647,2543,,1158
2021-04-07,14,13,19189,2867,,1295
2021-04-14,15,12,21052,2871,,1420
2021-04-21,16,12,22915,3125,,1565
2021-04-28,17,12,25345,3456,,1728
2021-05-05,18,12,27439,3742,,2007
2021-05-12,19,12,29463,4018,,2268
2021-05-19,20,12,31736,4328,,2540
2021-05-26,21,12,33694,4595,,2737
2021-06-02,22,12,35945,4902,,2990
2021-06-09,23,12,37675,5137,,3198
2021-06-16,24,12,39874,5437,,3397
2021-06-23,25,11,42731,5281,,3523
2021-06-30,26,11,44965,5558,,3847
2021-07-07,27,11,47677,5893,,4114
2021-07-14,28,11,51465,6361,,4319
2021-07-21,29,11,51966,6416,,4475
2021-07-28,30,11,53579,6598,,4621
2021-08-04,31,11,56439,6825,,4810
2021-08-11,32,10,59472,6957,,4932
2021-08-18,33,11,61208,7565,,5250
2021-08-25,34,11,63232,8019,,5413
2021-09-01,35,12,64767,8799,,5623
2021-09-08,36,12,66100,9374,,5790
2021-09-15,37,13,67011,9984,,6017
2021-09-22,38,13,67726,10478,,6191
2021-09-29,39,14,68339,10980,,6327
2021-10-06,40,14,68674,11370,,6458
2021-10-13,41,14,69987,11793,,6645
2021-10-20,42,15,70367,12355,,6802
2021-10-27,43,16,70184,13261,,7032
2021-11-03,44,16,70285,13459,,7094
2021-11-10,45,16,70563,13868,,7245
2021-11-17,46,17,71005,14252,,7377
2021-11-24,47,17,71214,14706,,7616
2021-12-01,48,17,71503,15116,359.0,7859
2021-12-08,49,18,72202,15536,359.0,8053
2021-12-16,50,18,72614,16036,359.0,8260
2021-12-23,51,18,73272,16534,362.0,8496
2022-01-04,1,19,74203,17111,374.0,8757
2022-01-13,2,19,75172,17572,378.0,8951
2022-01-20,3,19,76152,18142,392.0,9175
2022-01-27,4,20,77300,18845,409.0,9388
2022-02-03,5,20,77946,19693,407.0,9554
2022-02-10,6,20,77946,19693,407.0,9554
2022-02-23,8,22,78634,22141,439.0,9973
2022-03-10,10,24,77526,23857,441.0,10226
2022-03-23,12,24,77114,24753,438.0,10336
2022-03-31,13,25,76674,25361,433.0,10384
2022-04-07,14,25,76384,25802,432.0,10463
2022-05-05,18,27,75100,27756,422.0,10686
2022-06-02,22,30,72565,30734,427.0,10848
2022-07-07,27,35,67703,35886,374.0,11108
2022-07-28,30,36,66865,36899,377.0,11210
2022-09-01,35,47,54634,49082,371.0,11408
2022-10-06,40,57,44485,59466,361.0,11682
2022-11-03,44,68,32910,71371,382.0,12043
2022-12-08,49,87,13282,91096,379.0,12305
